recommendation_id,constituency_id,recommendation_type,title,description,priority,confidence_score,impact_score,effort_level,target_audience,estimated_cost,estimated_timeline_days,status,assigned_to,ai_reasoning,data_sources,expected_outcomes,risks,created_at,updated_at,completed_at,feedback_rating,feedback_notes
b7404050-64a8-423b-a9c9-41512a14bd04,PC01,outreach,Improve healthcare in Ward 4,Recommendation based on AI analysis of ground data,medium,0.78,91.3,high,women,383950.75,31,rejected,officer_1,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 32%"", ""Benefit 602 people directly""]","[""Stakeholder resistance""]",2025-12-12 02:06:00,2026-01-09 02:06:00,,,
8a2d2344-061c-4012-bb0f-a73e2b2d5716,PC01,resource_allocation,Improve healthcare in Ward 4,Recommendation based on AI analysis of ground data,medium,0.83,62.1,medium,farmers,89121.98,50,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve service delivery by 24%"", ""Benefit 2603 people directly""]",[],2025-08-04 23:47:00,2025-08-29 23:47:00,,,
c7aab9d4-7db4-47b5-b88d-0fc94b0e5db9,PC01,resource_allocation,Improve healthcare in Ward 5,Recommendation based on AI analysis of ground data,high,0.84,93.8,medium,all,58078.28,27,in_progress,officer_1,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 17%"", ""Benefit 2177 people directly""]",[],2025-11-13 20:26:00,2025-11-15 20:26:00,,,
61da593a-979c-4acc-a0d8-3b18582e1f72,PC01,resource_allocation,Improve infrastructure in Ward 4,Recommendation based on AI analysis of ground data,medium,0.72,65.6,low,farmers,178924.43,76,completed,officer_9,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 19%"", ""Benefit 2970 people directly""]","[""Budget constraints""]",2025-12-01 04:36:00,2025-12-07 04:36:00,2026-02-21 04:36:00,3.0,"Good implementation, achieved 75% of objectives"
2a5224bb-f3aa-4202-a26a-bdab10931836,PC01,resource_allocation,Improve infrastructure in Ward 2,Recommendation based on AI analysis of ground data,high,0.83,64.6,medium,all,486550.99,75,completed,officer_7,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve service delivery by 19%"", ""Benefit 3942 people directly""]",[],2025-10-09 22:24:00,2025-11-04 22:24:00,2025-12-18 22:24:00,5.0,
d08bb57e-f197-4ad5-922b-265ea465be92,PC01,crisis_response,Improve education in Ward 6,Recommendation based on AI analysis of ground data,critical,0.77,77.5,medium,farmers,410687.16,84,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve infrastructure quality by 37%"", ""Benefit 2299 people directly""]","[""Timeline delays""]",2025-11-10 05:26:00,2025-11-24 05:26:00,,,
13130da6-c590-4733-bf41-1692acdb2e8e,PC01,outreach,Improve education in Ward 6,Recommendation based on AI analysis of ground data,low,0.87,87.3,medium,all,412637.17,83,completed,officer_10,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve service delivery by 16%"", ""Benefit 3045 people directly""]","[""Resource availability""]",2025-03-29 17:21:00,2025-04-10 17:21:00,2025-05-16 17:21:00,4.0,"Good implementation, achieved 83% of objectives"
f6207073-b94a-46ff-8a09-377e08c59bd4,PC01,resource_allocation,Improve infrastructure in Ward 4,Recommendation based on AI analysis of ground data,medium,0.91,88.9,high,youth,55932.6,56,rejected,officer_2,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve infrastructure quality by 40%"", ""Benefit 4054 people directly""]",[],2025-11-15 11:48:00,2025-12-06 11:48:00,,,
13395267-83d1-4e3f-81f8-6ba2425c50d2,PC01,crisis_response,Improve education in Ward 4,Recommendation based on AI analysis of ground data,medium,0.72,70.9,low,youth,493391.91,22,rejected,officer_10,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 34%"", ""Benefit 4458 people directly""]",[],2025-09-04 01:50:00,2025-09-30 01:50:00,,,
8413361c-7586-4d0b-a4fb-5cf6cf0d5bc3,PC01,policy,Improve education in Ward 2,Recommendation based on AI analysis of ground data,low,0.81,64.1,medium,youth,370584.13,87,accepted,officer_3,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve service delivery by 30%"", ""Benefit 3767 people directly""]","[""Timeline delays""]",2025-03-16 04:09:00,2025-03-23 04:09:00,,,
1234706d-755e-4f95-b2df-5ed25e45e92f,PC01,outreach,Improve healthcare in Ward 1,Recommendation based on AI analysis of ground data,critical,0.92,70.9,low,women,68075.63,57,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve service delivery by 16%"", ""Benefit 3429 people directly""]","[""Weather conditions""]",2025-04-06 23:53:00,2025-04-16 23:53:00,,,
79406efa-c489-4a3b-b287-e1347f433788,PC01,crisis_response,Improve healthcare in Ward 1,Recommendation based on AI analysis of ground data,medium,0.8,88.6,high,youth,258166.29,39,in_progress,officer_5,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 35%"", ""Benefit 743 people directly""]","[""Budget constraints""]",2025-04-20 20:33:00,2025-05-13 20:33:00,,,
a75f6fb6-55c4-4c98-b69f-b0fb1968d74d,PC01,policy,Improve infrastructure in Ward 2,Recommendation based on AI analysis of ground data,high,0.71,70.3,high,farmers,65815.41,64,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve infrastructure quality by 36%"", ""Benefit 4923 people directly""]",[],2025-01-30 06:42:00,2025-02-15 06:42:00,,,
e928467f-c8d7-419a-a839-a97580bfbd5d,PC01,resource_allocation,Improve healthcare in Ward 3,Recommendation based on AI analysis of ground data,low,0.83,80.1,high,women,107648.64,31,completed,officer_4,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 27%"", ""Benefit 798 people directly""]","[""Resource availability""]",2025-11-15 08:12:00,2025-11-20 08:12:00,2026-01-08 08:12:00,3.0,"Good implementation, achieved 83% of objectives"
d68c526f-6ae1-4e46-a5dc-c54b726ac1cc,PC02,policy,Improve healthcare in Ward 2,Recommendation based on AI analysis of ground data,low,0.75,62.1,low,all,395926.45,62,completed,officer_6,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve infrastructure quality by 38%"", ""Benefit 4463 people directly""]","[""Timeline delays""]",2025-02-05 20:00:00,2025-02-22 20:00:00,2025-03-24 20:00:00,3.0,
87584779-1bfc-4785-9f45-1f59bb40b416,PC02,resource_allocation,Improve healthcare in Ward 5,Recommendation based on AI analysis of ground data,critical,0.87,65.3,medium,youth,200278.53,53,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 40%"", ""Benefit 2520 people directly""]",[],2025-03-10 13:50:00,2025-03-14 13:50:00,,,
b9ba712c-fb0c-4d51-9bb2-823b6a5443a0,PC02,outreach,Improve healthcare in Ward 2,Recommendation based on AI analysis of ground data,high,0.78,93.3,low,all,316686.28,14,completed,officer_10,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve service delivery by 19%"", ""Benefit 3984 people directly""]","[""Budget constraints""]",2025-06-05 10:18:00,2025-06-16 10:18:00,2025-08-26 10:18:00,3.0,
8ad8cb56-579f-40b6-824e-1d165c1e7867,PC02,policy,Improve healthcare in Ward 6,Recommendation based on AI analysis of ground data,high,0.74,83.0,low,farmers,379074.5,88,in_progress,officer_5,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 34%"", ""Benefit 3963 people directly""]","[""Timeline delays""]",2025-08-20 23:54:00,2025-09-11 23:54:00,,,
b729a36b-9c60-492a-aa40-f4424872690e,PC02,outreach,Improve education in Ward 1,Recommendation based on AI analysis of ground data,high,0.94,65.8,high,farmers,181117.36,25,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve infrastructure quality by 26%"", ""Benefit 4891 people directly""]","[""Stakeholder resistance""]",2025-01-18 04:58:00,2025-02-09 04:58:00,,,
a3b933b6-6249-42a9-8048-34bee24c802a,PC02,outreach,Improve education in Ward 3,Recommendation based on AI analysis of ground data,medium,0.72,73.9,medium,all,455104.24,43,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 40%"", ""Benefit 566 people directly""]",[],2025-07-14 15:28:00,2025-08-10 15:28:00,,,
39186cd1-17eb-4f8b-ad4d-63a60cc75558,PC02,outreach,Improve infrastructure in Ward 5,Recommendation based on AI analysis of ground data,critical,0.88,81.9,high,youth,101365.31,17,in_progress,officer_1,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve service delivery by 40%"", ""Benefit 2397 people directly""]",[],2025-07-16 13:54:00,2025-07-28 13:54:00,,,
b84f4b60-81c3-43ee-984d-7f8c1626d25d,PC02,outreach,Improve healthcare in Ward 1,Recommendation based on AI analysis of ground data,critical,0.73,83.3,medium,youth,50357.06,50,rejected,officer_3,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 31%"", ""Benefit 2561 people directly""]",[],2025-01-13 22:48:00,2025-02-05 22:48:00,,,
f4fc957f-f758-46e2-9b6e-42e8a3d164d2,PC02,outreach,Improve infrastructure in Ward 2,Recommendation based on AI analysis of ground data,medium,0.87,70.1,medium,all,137807.22,53,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 24%"", ""Benefit 2478 people directly""]",[],2025-07-08 06:04:00,2025-07-19 06:04:00,,,
1ab516c9-8800-49c3-a1be-8c14c28a387f,PC02,outreach,Improve infrastructure in Ward 6,Recommendation based on AI analysis of ground data,critical,0.77,71.7,high,youth,247918.3,40,rejected,officer_10,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve infrastructure quality by 17%"", ""Benefit 2129 people directly""]","[""Resource availability""]",2025-12-10 00:09:00,2026-01-04 00:09:00,,,
fb47f430-6ee4-4bc0-92ce-b0d9a3f43e25,PC02,resource_allocation,Improve healthcare in Ward 4,Recommendation based on AI analysis of ground data,medium,0.88,80.5,low,youth,103600.08,89,rejected,officer_9,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 27%"", ""Benefit 4843 people directly""]","[""Stakeholder resistance""]",2025-09-12 01:35:00,2025-09-20 01:35:00,,,
50c21a21-5d98-42f9-8cfc-c9f9563c4700,PC02,crisis_response,Improve healthcare in Ward 1,Recommendation based on AI analysis of ground data,critical,0.92,81.1,high,all,108131.09,81,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve satisfaction by 30%"", ""Benefit 4519 people directly""]","[""Budget constraints""]",2025-10-04 16:08:00,2025-10-31 16:08:00,,,
da37f07d-f182-4a0f-889f-637b264eb994,PC02,resource_allocation,Improve healthcare in Ward 5,Recommendation based on AI analysis of ground data,medium,0.8,83.9,medium,all,146007.9,25,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve service delivery by 21%"", ""Benefit 4328 people directly""]","[""Stakeholder resistance""]",2025-10-14 20:05:00,2025-11-09 20:05:00,,,
643773e6-622c-4582-8d56-932f5406b533,PC02,policy,Improve infrastructure in Ward 2,Recommendation based on AI analysis of ground data,medium,0.83,65.3,low,farmers,425285.77,76,completed,officer_10,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve satisfaction by 32%"", ""Benefit 2507 people directly""]","[""Budget constraints""]",2025-12-16 10:27:00,2026-01-07 10:27:00,2026-02-27 10:27:00,3.0,"Good implementation, achieved 83% of objectives"
7f3f2ffe-f69c-4101-afe6-1e23b9cca05d,PC02,resource_allocation,Improve healthcare in Ward 2,Recommendation based on AI analysis of ground data,low,0.85,73.0,high,farmers,276716.62,25,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve satisfaction by 32%"", ""Benefit 4969 people directly""]","[""Timeline delays""]",2025-06-22 16:33:00,2025-07-15 16:33:00,,,
84cb0482-23dd-47b7-a892-ceb91e2f5752,PC02,policy,Improve infrastructure in Ward 2,Recommendation based on AI analysis of ground data,high,0.93,71.1,low,women,169567.99,28,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve service delivery by 31%"", ""Benefit 4747 people directly""]","[""Resource availability""]",2025-02-28 19:17:00,2025-03-06 19:17:00,,,
dc6d39b3-5048-4215-9ca8-79be5eb7a262,PC02,crisis_response,Improve infrastructure in Ward 1,Recommendation based on AI analysis of ground data,medium,0.7,71.6,medium,women,144998.02,62,accepted,officer_8,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 28%"", ""Benefit 2414 people directly""]","[""Budget constraints""]",2025-07-11 21:29:00,2025-07-21 21:29:00,,,
afecba19-e535-475c-ba23-05e4e30fee65,PC03,crisis_response,Improve infrastructure in Ward 1,Recommendation based on AI analysis of ground data,medium,0.82,72.0,low,youth,262668.09,43,accepted,officer_7,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 22%"", ""Benefit 4118 people directly""]","[""Resource availability""]",2025-01-08 03:05:00,2025-01-14 03:05:00,,,
d390740c-7ebc-4eb1-93d6-00befc0a95fe,PC03,outreach,Improve education in Ward 6,Recommendation based on AI analysis of ground data,critical,0.83,67.1,low,youth,157568.49,62,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 29%"", ""Benefit 4011 people directly""]","[""Weather conditions""]",2025-11-08 18:16:00,2025-11-11 18:16:00,,,
d60230b3-39b1-4374-9c1f-0341532ffc78,PC03,resource_allocation,Improve healthcare in Ward 5,Recommendation based on AI analysis of ground data,medium,0.84,84.5,high,women,343286.38,69,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve satisfaction by 27%"", ""Benefit 1313 people directly""]",[],2025-01-12 14:09:00,2025-01-26 14:09:00,,,
db234453-2830-4251-9b4a-262d38af1f5d,PC03,policy,Improve infrastructure in Ward 6,Recommendation based on AI analysis of ground data,low,0.78,92.0,medium,all,181906.02,12,rejected,officer_3,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 40%"", ""Benefit 2467 people directly""]",[],2025-11-28 17:48:00,2025-12-12 17:48:00,,,
dff2d2c8-9c72-4c51-bd90-db8705d422cf,PC03,outreach,Improve infrastructure in Ward 4,Recommendation based on AI analysis of ground data,high,0.85,60.5,medium,all,258922.19,40,completed,officer_6,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 15%"", ""Benefit 3573 people directly""]","[""Budget constraints""]",2025-01-20 02:04:00,2025-02-10 02:04:00,2025-02-24 02:04:00,4.0,
b6fe4d72-4c36-4232-9403-694890c12a19,PC03,outreach,Improve education in Ward 5,Recommendation based on AI analysis of ground data,medium,0.82,71.4,medium,women,300293.61,11,in_progress,officer_4,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve satisfaction by 15%"", ""Benefit 1048 people directly""]","[""Resource availability""]",2025-02-06 05:29:00,2025-02-09 05:29:00,,,
5d94494c-bf90-4c98-aabc-73806cf2c3a1,PC03,crisis_response,Improve infrastructure in Ward 6,Recommendation based on AI analysis of ground data,critical,0.94,70.7,medium,all,50440.51,67,completed,officer_2,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve service delivery by 17%"", ""Benefit 3317 people directly""]",[],2025-11-22 13:49:00,2025-11-28 13:49:00,2026-01-13 13:49:00,4.0,"Good implementation, achieved 89% of objectives"
10f669a3-9e50-46e1-8c05-bebac760b074,PC03,resource_allocation,Improve healthcare in Ward 5,Recommendation based on AI analysis of ground data,critical,0.87,63.0,low,youth,287441.24,73,accepted,officer_7,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 22%"", ""Benefit 710 people directly""]","[""Timeline delays""]",2025-06-20 12:29:00,2025-06-21 12:29:00,,,
fb24e12b-5970-4df8-b2bd-bbc0d99d8090,PC03,resource_allocation,Improve education in Ward 1,Recommendation based on AI analysis of ground data,medium,0.95,66.0,medium,women,224834.7,35,rejected,officer_5,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve satisfaction by 30%"", ""Benefit 2613 people directly""]","[""Stakeholder resistance""]",2025-09-13 08:00:00,2025-09-16 08:00:00,,,
1144183d-a681-4d78-9499-1f94cf244a88,PC03,resource_allocation,Improve infrastructure in Ward 2,Recommendation based on AI analysis of ground data,medium,0.91,62.2,low,farmers,75726.64,37,accepted,officer_8,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 21%"", ""Benefit 2719 people directly""]","[""Budget constraints""]",2025-02-28 20:29:00,2025-03-10 20:29:00,,,
ca5b4802-146c-4888-85b1-1e3b2f6fe9b7,PC03,outreach,Improve healthcare in Ward 5,Recommendation based on AI analysis of ground data,medium,0.74,77.9,low,women,170107.45,24,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 16%"", ""Benefit 2907 people directly""]","[""Budget constraints""]",2025-12-30 09:38:00,2026-01-25 09:38:00,,,
0295caaf-5fc4-49f7-912a-130f7eb2763b,PC03,policy,Improve healthcare in Ward 2,Recommendation based on AI analysis of ground data,low,0.71,62.4,high,youth,107166.43,45,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve satisfaction by 40%"", ""Benefit 825 people directly""]","[""Timeline delays""]",2025-06-09 21:49:00,2025-06-19 21:49:00,,,
4f8dcf4b-56c7-4857-9aa9-647078e64817,PC03,crisis_response,Improve education in Ward 2,Recommendation based on AI analysis of ground data,high,0.86,94.8,high,youth,423438.1,64,accepted,officer_8,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 27%"", ""Benefit 3185 people directly""]","[""Budget constraints""]",2025-02-26 08:35:00,2025-03-06 08:35:00,,,
59950b6e-1924-49a9-83ef-0dbd7b89d634,PC03,policy,Improve infrastructure in Ward 4,Recommendation based on AI analysis of ground data,critical,0.9,73.9,low,farmers,475810.42,88,rejected,officer_9,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve satisfaction by 33%"", ""Benefit 1167 people directly""]","[""Stakeholder resistance""]",2025-08-26 19:03:00,2025-08-27 19:03:00,,,
ea0d1a27-92a2-45fa-af76-3b0d90237c45,PC03,crisis_response,Improve infrastructure in Ward 1,Recommendation based on AI analysis of ground data,critical,0.86,71.1,high,farmers,306911.88,41,accepted,officer_3,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve infrastructure quality by 36%"", ""Benefit 968 people directly""]",[],2025-11-06 16:53:00,2025-11-12 16:53:00,,,
82f798bf-9032-4090-8d51-d11e410ef7cc,PC03,policy,Improve education in Ward 5,Recommendation based on AI analysis of ground data,low,0.84,63.9,medium,youth,417623.6,37,accepted,officer_10,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve satisfaction by 24%"", ""Benefit 2851 people directly""]","[""Budget constraints""]",2025-03-28 09:08:00,2025-04-02 09:08:00,,,
f648e3a4-90fb-4d6d-bcc0-029d3496946a,PC03,crisis_response,Improve education in Ward 6,Recommendation based on AI analysis of ground data,medium,0.95,91.2,medium,all,76154.76,27,in_progress,officer_7,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve infrastructure quality by 18%"", ""Benefit 3984 people directly""]",[],2025-08-21 19:18:00,2025-09-19 19:18:00,,,
4b44ca42-eb1e-4919-9c4f-9dd8ad504221,PC03,crisis_response,Improve education in Ward 5,Recommendation based on AI analysis of ground data,medium,0.78,70.7,medium,all,246490.48,54,completed,officer_1,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve satisfaction by 34%"", ""Benefit 558 people directly""]",[],2025-08-05 12:41:00,2025-08-20 12:41:00,2025-10-20 12:41:00,3.0,"Good implementation, achieved 85% of objectives"
5115c265-84ab-4f90-aefc-797989b94424,PC03,outreach,Improve healthcare in Ward 2,Recommendation based on AI analysis of ground data,low,0.92,67.4,high,farmers,116666.96,64,accepted,officer_8,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 21%"", ""Benefit 3608 people directly""]","[""Resource availability""]",2025-04-11 01:49:00,2025-05-09 01:49:00,,,
3e6a679c-9261-4446-9373-c39334a5d302,PC03,outreach,Improve education in Ward 2,Recommendation based on AI analysis of ground data,high,0.72,92.5,high,women,295734.13,65,accepted,officer_10,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve infrastructure quality by 31%"", ""Benefit 4826 people directly""]","[""Resource availability""]",2025-01-18 10:18:00,2025-02-08 10:18:00,,,
d38f5837-a5b2-4572-bd5a-7ffc020dfc25,PC03,crisis_response,Improve education in Ward 5,Recommendation based on AI analysis of ground data,low,0.87,86.6,high,farmers,271095.17,32,completed,officer_4,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 30%"", ""Benefit 3772 people directly""]",[],2025-08-17 10:39:00,2025-08-23 10:39:00,2025-11-13 10:39:00,4.0,"Good implementation, achieved 92% of objectives"
f66dff99-ac8f-4b0a-958a-95ee7c80ae9b,PC03,crisis_response,Improve education in Ward 3,Recommendation based on AI analysis of ground data,low,0.83,81.6,high,all,313262.93,23,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 36%"", ""Benefit 3952 people directly""]",[],2025-04-01 10:47:00,2025-04-24 10:47:00,,,
becefb7b-cbd1-4e0b-9f0c-1a332305a8ab,PC03,crisis_response,Improve healthcare in Ward 2,Recommendation based on AI analysis of ground data,low,0.71,60.9,high,women,390373.17,31,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 28%"", ""Benefit 3282 people directly""]","[""Weather conditions""]",2025-12-28 20:24:00,2026-01-26 20:24:00,,,
